year,month,day,hour,flow_cfs
2021,6,19,6,624.749236723659
2021,6,19,12,543.690000313311
2021,6,19,18,522.930927574076
2021,6,20,0,609.710493573804
2021,6,20,6,617.434938220899
2021,6,20,12,564.714713610904
2021,6,20,18,656.975106678395
2021,6,21,0,824.039989249984
2021,6,21,6,745.197206312573
2021,6,21,12,685.989757043903
2021,6,21,18,911.590555119353
2021,6,22,0,1074.40497407769
2021,6,22,6,824.206301548994
2021,6,22,12,734.640537400203
2021,6,22,18,954.026341719715
2021,6,23,0,1083.84866421437
2021,6,23,6,772.513015994986
2021,6,23,12,655.816293229202
2021,6,23,18,712.718001024088
2021,6,24,0,810.056715612108
2021,6,24,6,731.04285438745
2021,6,24,12,664.123536232704
2021,6,24,18,812.157179423505
2021,6,25,0,983.296144058673
2021,6,25,6,863.745081438336
2021,6,25,12,816.835667334247
2021,6,25,18,1162.53765388395
2021,6,26,0,1298.46705085568
2021,6,26,6,1089.81716843501
2021,6,26,12,1029.27177018862
2021,6,26,18,1543.90765528293
2021,6,27,0,1535.53976109965
2021,6,27,6,1377.45677943628
2021,6,27,12,1217.75164558859
2021,6,27,18,1527.18034241848
2021,6,28,0,1499.68270426432
2021,6,28,6,1281.8194112536
2021,6,28,12,1181.67726974942
2021,6,28,18,1502.13212256282
2021,6,29,0,1529.05968829186
2021,6,29,6,1296.5578313743
2021,6,29,12,1077.14035221865
2021,6,29,18,1426.21361451173
2021,6,30,0,1511.11671589659
2021,6,30,6,1017.52240995443
2021,6,30,12,983.944170425938
2021,6,30,18,1200.67644374623
2021,7,1,0,1044.59723546882
2021,7,1,6,799.272003292341
2021,7,1,12,624.729310449265
2021,7,1,18,648.573940619084
2021,7,2,0,634.252256061182
2021,7,2,6,603.426727835602
2021,7,2,12,545.192534467108
2021,7,2,18,566.27732861777
2021,7,3,0,615.954561942204
2021,7,3,6,547.703795457923
2021,7,3,12,485.962640333575
2021,7,3,18,526.791468722257
2021,7,4,0,567.129629146757
2021,7,4,6,488.639504915481
2021,7,4,12,438.294828651462
2021,7,4,18,495.549558520346
2021,7,5,0,531.902586594191
2021,7,5,6,467.858689958637
2021,7,5,12,412.992532287582
2021,7,5,18,486.812453517729
2021,7,6,0,516.770061938603
2021,7,6,6,448.138830710712
2021,7,6,12,405.747319697536
2021,7,6,18,467.31594283572
2021,7,7,0,504.825751529582
2021,7,7,6,428.47873888098
2021,7,7,12,399.130880053516
2021,7,7,18,399.130880053516
2021,7,8,0,425.693250524561
2021,7,8,6,393.052473642624
2021,7,8,12,355.335317080958
2021,7,8,18,393.052473642624
2021,7,9,0,427.426220720329
2021,7,9,6,390.456768204584
2021,7,9,12,368.144952878608
2021,7,9,18,419.867797497917
2021,7,10,0,463.634742143381
2021,7,10,6,421.152275992207
2021,7,10,12,380.618840978872
2021,7,10,18,415.220553795133
2021,7,11,0,438.381916287402
2021,7,11,6,373.721909059952
2021,7,11,12,357.944730841062
2021,7,11,18,368.791540866549
2021,7,12,0,408.701722229243
2021,7,12,6,374.421611833269
2021,7,12,12,337.793410675666
2021,7,12,18,391.718262379914
2021,7,13,0,439.431707921511
2021,7,13,6,391.714037321276
2021,7,13,12,354.125316568224
2021,7,13,18,421.389343178949
2021,7,14,0,458.110898031375
2021,7,14,6,381.548897486674
2021,7,14,12,348.903002514553
2021,7,14,18,386.649818576069
2021,7,15,0,403.685664723478
2021,7,15,6,342.939217677949
2021,7,15,12,303.407319386543
2021,7,15,18,333.056243105097
2021,7,16,0,349.508775011949
2021,7,16,6,306.250738580954
2021,7,16,12,278.319075127316
2021,7,16,18,273.331278082024
2021,7,17,0,278.689041353234
2021,7,17,6,257.054024314789
2021,7,17,12,253.053183469423
2021,7,17,18,261.054865160155
2021,7,18,0,266.986812799449
2021,7,18,6,267.919125196197
2021,7,18,12,258.854192388806
2021,7,18,18,262.883051414313
2021,7,19,0,321.700449157554
2021,7,19,6,267.557981916913
2021,7,19,12,258.639382519682
2021,7,19,18,290.349958154279
2021,7,20,0,309.204905709068
2021,7,20,6,276.346993078833
2021,7,20,12,249.735801152723
2021,7,20,18,263.041397115778
2021,7,21,0,272.546711553031
2021,7,21,6,242.886371051944
2021,7,21,12,230.941139688733
2021,7,21,18,222.97765211326
2021,7,22,0,213.842962774039
2021,7,22,6,207.563999532079
2021,7,22,12,193.38889712501
2021,7,22,18,222.751609253939
2021,7,23,0,218.748025370017
2021,7,23,6,211.70319857483
2021,7,23,12,193.470387214318
2021,7,23,18,215.754934432721
2021,7,24,0,267.39493423004
2021,7,24,6,236.237446650107
2021,7,24,12,212.406476154701
2021,7,24,18,275.610354425125
2021,7,25,0,316.096511257114
2021,7,25,6,267.38021640109
2021,7,25,12,237.671303467635
2021,7,25,18,308.972694507926
2021,7,26,0,319.855060038794
2021,7,26,6,269.024285286159
2021,7,26,12,235.147153064939
2021,7,26,18,295.926713814775
2021,7,27,0,311.948635593876
2021,7,27,6,266.874527567512
2021,7,27,12,236.775896638845
2021,7,27,18,297.976446193801
2021,7,28,0,316.797623627751
2021,7,28,6,264.787958351835
2021,7,28,12,230.942880968518
2021,7,28,18,295.6467053778
2021,7,29,0,308.447286963781
2021,7,29,6,260.600367582477
2021,7,29,12,227.138063573832
2021,7,29,18,301.160736077804
2021,7,30,0,321.75437857461
2021,7,30,6,274.3165740172
2021,7,30,12,243.836954681955
2021,7,30,18,342.387723865913
2021,7,31,0,381.163116290857
2021,7,31,6,350.402146018787
2021,7,31,12,345.424842808292
2021,7,31,18,350.402146018787
2021,8,1,0,358.378614020486
2021,8,1,6,354.346956410045
2021,8,1,12,354.346956410045
2021,8,1,18,398.640325961301
2021,8,2,0,386.952908413397
2021,8,2,6,348.206578051994
2021,8,2,12,328.137034648421
2021,8,2,18,397.376959390748
2021,8,3,0,393.605947412869
2021,8,3,6,321.919353998801
2021,8,3,12,292.385468310838
2021,8,3,18,368.189108243277
2021,8,4,0,361.406191458949
2021,8,4,6,304.053034847744
2021,8,4,12,267.808302216887
2021,8,4,18,354.392941279489
2021,8,5,0,354.085251901584
2021,8,5,6,284.428827571065
2021,8,5,12,258.297557193511
2021,8,5,18,338.701466047523
2021,8,6,0,307.0590463865
2021,8,6,6,551.070256422498
2021,8,6,12,464.363397894482
2021,8,6,18,398.851549228871
2021,8,7,0,344.370546755303
2021,8,7,6,349.468608599843
2021,8,7,12,554.858054005014
2021,8,7,18,662.151047873387
2021,8,8,0,938.674031266721
2021,8,8,6,487.071505814305
2021,8,8,12,437.351541137609
2021,8,8,18,375.661955335041
2021,8,9,0,333.155965261417
2021,8,9,6,293.043512796613
2021,8,9,12,261.038760545788
2021,8,9,18,293.043512796613
2021,8,10,0,284.592462082617
2021,8,10,6,272.990095649909
2021,8,10,12,263.890425794912
2021,8,10,18,372.075389626543
2021,8,11,0,377.49571596775
2021,8,11,6,329.49179579549
2021,8,11,12,324.453694942348
2021,8,11,18,429.246192687703
2021,8,12,0,416.120917067782
2021,8,12,6,363.953580698301
2021,8,12,12,332.872145432055
2021,8,12,18,409.071793181562
2021,8,13,0,380.084044362654
2021,8,13,6,322.996147652616
2021,8,13,12,288.890964360104
2021,8,13,18,386.191046106389
2021,8,14,0,343.759639378448
2021,8,14,6,295.109267297841
2021,8,14,12,275.972488872384
2021,8,14,18,376.692375322159
2021,8,15,0,336.692097643721
2021,8,15,6,280.450433505701
2021,8,15,12,250.720705572235
2021,8,15,18,338.918898441519
2021,8,16,0,299.127827314595
2021,8,16,6,258.386904701657
2021,8,16,12,241.557106311128
2021,8,16,18,250.466999576702
2021,8,17,0,240.050151508619
2021,8,17,6,325.368649474798
2021,8,17,12,285.960645345863
2021,8,17,18,272.824643969551
2021,8,18,0,247.641970907412
2021,8,18,6,213.125085191176
2021,8,18,12,195.364661425244
2021,8,18,18,257.526144606004
2021,8,19,0,244.32624665356
2021,8,19,6,201.654534378399
2021,8,19,12,187.883005201337
2021,8,19,18,236.083357321052
2021,8,20,0,224.431959538039
2021,8,20,6,201.929116624395
2021,8,20,12,181.243694921408
2021,8,20,18,212.764337516436
2021,8,21,0,207.693742343165
2021,8,21,6,180.450284122395
2021,8,21,12,170.425268337817
2021,8,21,18,205.512823583839
2021,8,22,0,215.529505565101
2021,8,22,6,207.568413775945
2021,8,22,12,214.520465911981
2021,8,22,18,214.520465911981
2021,8,23,0,199.251803236342
2021,8,23,6,168.207615582546
2021,8,23,12,159.302506522294
2021,8,23,18,168.207615582546
2021,8,24,0,177.31272138934
2021,8,24,6,157.189353695331
2021,8,24,12,145.019855344724
2021,8,24,18,179.500100671442
2021,8,25,0,195.268659186859
2021,8,25,6,163.83098010162
2021,8,25,12,148.846439238667
2021,8,25,18,186.807276091481
2021,8,26,0,181.76194994908
2021,8,26,6,151.393127943762
2021,8,26,12,142.602559224447
2021,8,26,18,157.253507089972
2021,8,27,0,211.739661537681
2021,8,27,6,167.250691507663
2021,8,27,12,167.250691507663
2021,8,27,18,209.555278183131
2021,8,28,0,196.147016059951
2021,8,28,6,166.576385817156
2021,8,28,12,154.606825159636
2021,8,28,18,200.490141013463
2021,8,29,0,208.506279966368
2021,8,29,6,173.619268649806
2021,8,29,12,157.654278429134
2021,8,29,18,215.52736797907
2021,8,30,0,201.891889910828
2021,8,30,6,159.394108551185
2021,8,30,12,153.562616774922
2021,8,30,18,162.309854439316
2021,8,31,0,151.574950562204
2021,8,31,6,134.794504302533
2021,8,31,12,137.746208776311
2021,8,31,18,152.504731145201
2021,9,1,0,142.334160990458
2021,9,1,6,129.877736818519
2021,9,1,12,121.823303527448
2021,9,1,18,129.877736818519
2021,9,2,0,150.50828467395
2021,9,2,6,127.693699972942
2021,9,2,12,119.586163466723
2021,9,2,18,141.881888858824
2021,9,3,0,159.168210742286
2021,9,3,6,131.176873442041
2021,9,3,12,126.170122547307
2021,9,3,18,149.201176663085
2021,9,4,0,147.735443935148
2021,9,4,6,123.696995079092
2021,9,4,12,115.843217613753
2021,9,4,18,149.221771841444
2021,9,5,0,178.740587016054
2021,9,5,6,270.971768594198
2021,9,5,12,208.679407997831
2021,9,5,18,208.679407997831
2021,9,6,0,204.598243782851
2021,9,6,6,183.584779721806
2021,9,6,12,160.63668225658
2021,9,6,18,193.562213402339
2021,9,7,0,191.834405477962
2021,9,7,6,159.74126659083
2021,9,7,12,178.950659408714
2021,9,7,18,255.788230680253
2021,9,8,0,235.205281140252
2021,9,8,6,212.183042242939
2021,9,8,12,212.183042242939
2021,9,8,18,209.23605554512
2021,9,9,0,209.590438809419
2021,9,9,6,184.227243652631
2021,9,9,12,170.921942722163
2021,9,9,18,245.636324870175
2021,9,10,0,228.838538724759
2021,9,10,6,177.121817970911
2021,9,10,12,158.425626073982
2021,9,10,18,194.833999768002
2021,9,11,0,174.398573539393
2021,9,11,6,147.002531306097
2021,9,11,12,138.123183777541
2021,9,11,18,161.801443853691
2021,9,12,0,179.747108994434
2021,9,12,6,181.784307798547
2021,9,12,12,272.676461697821
2021,9,12,18,426.252859665559
2021,9,13,0,282.825629867971
2021,9,13,6,199.588402387419
2021,9,13,12,171.894317845624
2021,9,13,18,182.398970602856
2021,9,14,0,193.410999469186
2021,9,14,6,178.474261757554
2021,9,14,12,164.656899556969
2021,9,14,18,245.25817906038
2021,9,15,0,405.810256970011
2021,9,15,6,263.088521552038
2021,9,15,12,204.521112160595
2021,9,15,18,184.069000944535
2021,9,16,0,178.832652654798
2021,9,16,6,160.450462304686
2021,9,16,12,148.264351243571
2021,9,16,18,160.450462304686
2021,9,17,0,130.836061654093
2021,9,17,6,96.9198673851569
2021,9,17,12,140.316822930749
2021,9,17,18,429.629859901367
2021,9,18,0,4671.45525596195
2021,9,18,6,5000.19381268998
2021,9,18,12,2478.261998866
2021,9,18,18,1954.2242193701
2021,9,19,0,1023.15964903916
2021,9,19,6,1056.03130771393
2021,9,19,12,1028.482664904
2021,9,19,18,1450.89518798958
2021,9,20,0,866.023413743621
2021,9,20,6,1177.58642078244
2021,9,20,12,838.049002790169
2021,9,20,18,663.373683707441
2021,9,21,0,567.958193457249
2021,9,21,6,487.323620196095
2021,9,21,12,391.231638748977
2021,9,21,18,445.160812010115
2021,9,22,0,416.609686410132
2021,9,22,6,375.918744441235
2021,9,22,12,343.273169266075
2021,9,22,18,357.122807219174
2021,9,23,0,318.76086806524
2021,9,23,6,280.345585766667
2021,9,23,12,254.589454212132
2021,9,23,18,263.505038211779
2021,9,24,0,268.358976391968
2021,9,24,6,252.298818054297
2021,9,24,12,243.323761285567
2021,9,24,18,301.163016017382
2021,9,25,0,290.069832138644
2021,9,25,6,243.735587715731
2021,9,25,12,224.079491932205
2021,9,25,18,291.893022385372
2021,9,26,0,286.513965285161
2021,9,26,6,293.592766082388
2021,9,26,12,265.033158486825
2021,9,26,18,278.741770132696
2021,9,27,0,790.750641263155
2021,9,27,6,762.970835371616
2021,9,27,12,548.326706010314
2021,9,27,18,503.335796799211
2021,9,28,0,859.982687238386
2021,9,28,6,701.988213180399
2021,9,28,12,821.51593596517
2021,9,28,18,736.138991118905
2021,9,29,0,628.731029866218
2021,9,29,6,640.486463392017
2021,9,29,12,546.83042393375
2021,9,29,18,680.768630900948
2021,9,30,0,691.097934413642
2021,9,30,6,830.386323878394
2021,9,30,12,2531.40728835378
2021,9,30,18,2150.10744575656
2021,10,1,0,1165.09994932943
2021,10,1,6,746.011968657896
2021,10,1,12,624.633300415685
2021,10,1,18,558.34187391417
2021,10,2,0,504.925764825272
2021,10,2,6,470.368932982736
2021,10,2,12,428.77841680321
2021,10,2,18,399.070905246405
2021,10,3,0,378.637725050718
2021,10,3,6,357.915842564119
2021,10,3,12,375.962019500125
2021,10,3,18,352.903015637451
2021,10,4,0,335.800519582396
2021,10,4,6,294.129005120005
2021,10,4,12,280.264338211991
2021,10,4,18,276.303004809702
2021,10,5,0,266.80678410656
2021,10,5,6,261.056864129252
2021,10,5,12,342.319701212287
2021,10,5,18,414.440469123481
2021,10,6,0,313.559147003241
2021,10,6,6,272.42248223297
