year,month,day,flow_cfs,Source
2010,9,13,3340,USGS_12210700
2010,9,14,1830,USGS_12210700
2010,9,15,1390,USGS_12210700
2010,9,16,1710,USGS_12210700
2010,9,17,1810,USGS_12210700
2010,9,18,2220,USGS_12210700
2010,9,19,5860,USGS_12210700
2010,9,20,11800,USGS_12210700
2010,9,21,7620,USGS_12210700
2010,9,22,3810,USGS_12210700
2010,9,23,2750,USGS_12210700
2010,9,24,3060,USGS_12210700
2010,9,25,2620,USGS_12210700
2010,9,26,3770,USGS_12210700
2010,9,27,3840,USGS_12210700
2010,9,28,8120,USGS_12210700
2010,9,29,5380,USGS_12210700
2010,9,30,3470,USGS_12210700
2010,10,1,2780,USGS_12210700
2010,10,2,2440,USGS_12210700
2010,10,3,2150,USGS_12210700
2010,10,4,1970,USGS_12210700
2010,10,5,1790,USGS_12210700
2010,10,6,1670,USGS_12210700
2010,10,7,1620,USGS_12210700
2010,10,8,1570,USGS_12210700
2010,10,9,2280,USGS_12210700
2010,10,10,7400,USGS_12210700
2010,10,11,4110,USGS_12210700
2010,10,12,2830,USGS_12210700
2010,10,13,2330,USGS_12210700
2010,10,14,2030,USGS_12210700
2010,10,15,1850,USGS_12210700
2010,10,16,1710,USGS_12210700
2010,10,17,1600,USGS_12210700
2010,10,18,1510,USGS_12210700
2010,10,19,1460,USGS_12210700
2010,10,20,1420,USGS_12210700
2010,10,21,1380,USGS_12210700
2010,10,22,1370,USGS_12210700
2010,10,23,1350,USGS_12210700
2010,10,24,2660,USGS_12210700
2010,10,25,3980,USGS_12210700
2010,10,26,4700,USGS_12210700
2010,10,27,2830,USGS_12210700
2010,10,28,2360,USGS_12210700
2010,10,29,2480,USGS_12210700
2010,10,30,2190,USGS_12210700
2010,10,31,3860,USGS_12210700
2010,11,1,8500,USGS_12210700
2010,11,2,8590,USGS_12210700
2010,11,3,4770,USGS_12210700
2010,11,4,3760,USGS_12210700
2010,11,5,3390,USGS_12210700
2010,11,6,3640,USGS_12210700
2010,11,7,7770,USGS_12210700
2010,11,8,6390,USGS_12210700
2010,11,9,4810,USGS_12210700
2010,11,10,3820,USGS_12210700
2010,11,11,3230,USGS_12210700
